字符,笔画数,拼音,偏旁部首,频率,结构代码,拆字,结构方式,间架比例,char,index,pinyin,pronunciation_details,结构谜底,拆字谜底,谜底,字谜
姨,9,yí,女,1,H2,['女 夷'],左右结构,左窄右宽,姨,1737.0,yí,"{'pinyin': 'yí', 'explanations': [{'content': '(形声。从女,夷声。本义:妻子的姐妹)。'}, {'content': '同本义。', 'detail': [{'text': '姨,妻之女弟同出为姨。', 'book': '《说文》'}, {'text': '妻之姊妹同出为姨。', 'book': '《尔雅》'}, {'text': '蔡哀侯曰吾姨也。', 'book': '《左传·庄公十年》'}, {'text': '东宫之妹,邢侯之姨。', 'book': '《诗·卫风·硕人》。毛传:“妻之姊妹曰姨。”'}, {'text': '其妻又吾姨也。', 'book': '晋·潘安《寡妇赋》'}], 'words': [{'word': '姨夫', 'text': '妻的姊妹夫;又两男共狎一妓,彼此互称姨夫。'}]}, {'content': '母之姊妹。', 'detail': [{'text': '继室以其侄,穆姜之姨子也。', 'book': '《左传》。孔颖达疏:“据父言之,谓之姨,据子言之,当谓之从母,但子效父语,亦呼为姨。”'}], 'words': [{'word': '姨丈人', 'text': '妻之姨夫'}, {'word': '姨弟', 'text': '姨表弟。'}]}, {'content': '父亲的小老婆;庶母。', 'detail': [{'text': '母之姊妹曰姨。', 'book': '《释名》'}, {'text': '其父之侧庶,亦称姨者,姨本姊妹同事一夫之称,后世无媵之礼,而侧庶实与媵比,故虽非母姊妹,而得借比称之。', 'book': '翟灏《通俗篇》'}], 'words': [{'word': '姨姨', 'text': '称父之妾;称所亲狎的妓女'}, {'word': '姨夫钱', 'text': '可供循环挪用的他人的钱财。'}]}]}",[左右],女夷,[左右]女夷,左女对右夷
箩,14,luó,竹,1,B2,['竹 罗'],上下结构,上小下大,箩,3122.0,luó,"{'pinyin': 'luó', 'explanations': [{'content': '(形声。从竹,罗声。本义:竹制的盛器,多方底圆口)。'}, {'content': '同本义。', 'detail': [{'text': '箩,箕也。', 'book': '《广雅·释器》'}, {'text': '所以注斛,陈魏宋楚之间谓之箩。', 'book': '《方言》五'}], 'words': [{'word': '箩斗', 'text': '即箩兜。箩筐'}, {'word': '箩兜', 'text': '箩筐'}, {'word': '箩头', 'text': '即箩筐'}, {'word': '箩担', 'text': '挑有箩筐的担子'}, {'word': '箩筛', 'text': '竹编的筛子。'}]}, {'content': '箩筛 。一种专供筛粉状物质或过滤流质的器具,底部比筛子密,用绢或细铜丝等材料做成。'}, {'content': '量词。', 'detail': [{'text': '桐膏千箩,蜡千斤,茧丝千两。', 'book': '清·唐甄《潜书》'}]}]}",[上下],竹罗,[上下]竹罗,楼阁竹眺望天际，底层罗沉思地面
买,6,mǎi,乙,1,B0,['乛 头'],上下结构,上下结构,买,588.0,mǎi,"{'pinyin': 'mǎi', 'explanations': [{'content': '(会意。小篆字形,从网贝。“网”是收进,“贝”是财货。合起来表示把财货购进来。本义:买进,购进)。'}, {'content': '同本义。', 'detail': [{'text': '买,市也。', 'book': '《说文》'}, {'text': '请买其方百金。', 'book': '《庄子·逍遥游》'}, {'text': '买粥易也。', 'book': '《墨子·经说》'}, {'text': '郑人买其椟而还其珠。', 'book': '《韩非子·外储说左上》'}, {'text': '买妾不知其姓,则卜之。', 'book': '《礼记·曲礼》'}], 'words': [{'word': '买嘴吃', 'text': '买零食吃'}, {'word': '买市', 'text': '旧市官方或豪绅定期召集商贩开市,以买卖财物为名,犒赏百姓'}, {'word': '买山', 'text': '购置山地,作为隐居之处'}, {'word': '买骨', 'text': '买马骨。比喻求贤之切'}, {'word': '买菜求益', 'text': '买菜求小便宜,要求多给一点菜。比喻斤斤计较。'}]}, {'content': '雇,租。', 'detail': [{'text': '买舟而下。', 'book': '清·彭端淑《为学一首示子侄》'}], 'words': [{'word': '买棹', 'text': '雇船;乘船'}, {'word': '买帆', 'text': '买舟,买船,买棹,雇船'}, {'word': '买佣', 'text': '雇用工人'}, {'word': '买活', 'text': '雇用。'}]}, {'content': '用金钱或其他手段取得;收买,买通。', 'detail': [{'text': '沉吟此事泪满衣,黄金买醉未能归。', 'book': '李白《梁园吟》'}], 'words': [{'word': '买和', 'text': '为使对方放弃诉讼,理亏的一方付与对方一定数目的钱财'}, {'word': '买上告下', 'text': '对官府上上下下行贿求告'}, {'word': '习官', 'text': '用钱财以求得官位'}, {'word': '习邻', 'text': '先选择好的邻居再买房子'}, {'word': '买路钱', 'text': '旧时出丧时沿途抛洒金奶纸钱;旧时盗贼拦路抢劫,称所得为买路钱'}, {'word': '买休', 'text': '犯罪的人花钱了结事情。'}]}, {'content': '招惹,引起。', 'detail': [{'text': '此所谓市怨而买祸者也。', 'book': '《战国策·韩策》'}], 'words': [{'word': '买忧', 'text': '招惹忧愁'}, {'word': '买出', 'text': '招惹出;引起'}, {'word': '买憔悴', 'text': '寻烦恼,惹祸患。'}]}]}",[上下],乛头,[上下]乛头,高处乛，低处头
蔓,14,màn,艹,2,B2,"['草 曼', '艸 曼', '艹 曼']",上下结构,上小下大,蔓,3069.0,màn,"{'pinyin': 'màn', 'explanations': [{'content': '(形声。从艸,曼声。本义:藤蔓,草本蔓生植物的枝茎) 同本义。', 'detail': [{'text': '蔓,葛属。', 'book': '《说文》'}, {'text': '青树翠蔓。', 'book': '唐·柳宗元《至小丘西小石潭记》'}, {'text': '丹藤翠蔓。', 'book': '宋·陆游《过小孤山大孤山》'}, {'text': '蔓广则歧多,歧多则饶子。', 'book': '《齐民要术·种瓜》'}, {'text': '兔丝附蓬麻,引蔓故不长。', 'book': '杜甫《新婚别》'}]}, {'content': '蔓延;滋长。', 'detail': [{'text': '野有蔓草。', 'book': '《诗·郑风·野有蔓草》。传:“延也。”'}, {'text': '敛蔓于野。', 'book': '《诗·唐风·葛生》'}, {'text': '不蔓不枝。', 'book': '宋·周敦颐《爱莲说》'}, {'text': '无使滋蔓,蔓,难图也。', 'book': '《左传·隐公元年》'}], 'words': [{'word': '蔓生', 'text': '蔓延生长'}, {'word': '蔓衍', 'text': '扩展延伸'}, {'word': '蔓草', 'text': '蔓延滋生的草'}, {'word': '蔓连', 'text': '延伸串联'}, {'word': '蔓蔓', 'text': '滋长延伸的样子。'}]}]}",[上下],草曼,[上下]草曼,日出草辉映天际，夜幕曼铺满地面
苗,8,miáo,艹,1,B2,"['草 田', '艸 田', '艹 田']",上下结构,上小下大,苗,1005.0,miáo,"{'pinyin': 'miáo', 'explanations': [{'content': '(会意。从田,从艸。田里生长的形状象草的东西。本义:禾苗,未吐穗的庄稼)。'}, {'content': '同本义;泛指初生的植物。', 'detail': [{'text': '苗,草生于田者。', 'book': '《说文》'}, {'text': '无食我苗。', 'book': '《诗·魏风·硕鼠》。传:“嘉谷也。”'}, {'text': '无苗。', 'book': '《公羊传·庄公七年》。注:“苗者禾也。生曰苗,秀曰禾。”'}, {'text': '宋人有闵其苗之不长而揠之者,芒芒然归。', 'book': '《孟子》'}, {'text': '南门之外有黄犊食苗道左者。', 'book': '《韩非子·内储说上》'}, {'text': '八月苗未枯。', 'book': '宋·沈括《梦溪笔谈》'}, {'text': '无苗时采。'}, {'text': '有苗时采。'}], 'words': [{'word': '补苗;间苗;秧苗;麦苗;豆苗;壮苗', 'text': '健壮的幼苗。'}]}, {'content': '子孙后代。', 'detail': [{'text': '大王刘氏苗族,绍世而起。', 'book': '《三国志·诸葛亮传》'}, {'text': '其先出自箕子苗。', 'book': '《李翊碑》'}], 'words': [{'word': '苗末', 'text': '后代子孙'}, {'word': '苗胄', 'text': '后代的子孙'}, {'word': '苗胤', 'text': '子孙相承续。亦指后代子孙'}, {'word': '苗嗣', 'text': '后嗣,后代'}, {'word': '苗绪', 'text': '后代子孙。'}]}, {'content': '事物的开端;事物的预兆。', 'detail': [{'text': '言者志之苗,行者文之根。', 'book': '白居易《读张籍古乐府》'}], 'words': [{'word': '苗脉', 'text': '比喻事物的根源'}, {'word': '苗头', 'text': '端绪;预兆;因由。'}]}, {'content': '庄稼出苗。', 'detail': [{'text': '苗而不秀者有矣夫。', 'book': '《论语·子罕》'}]}, {'content': '夏天的狩猎。', 'detail': [{'text': '之子于苗,选徒嚣嚣。', 'book': '《诗·小雅·车攻》'}, {'text': '春蒐,夏苗,秋狝,冬狩。', 'book': '《左传·隐公五年》'}], 'words': [{'word': '苗田', 'text': '指夏季的狩猎'}, {'word': '苗狩', 'text': '夏猎与冬猎。'}]}, {'content': '姓。'}]}",[上下],草田,[上下]草田,树冠草枝繁叶茂，根系田深埋大地
悉,11,xī,心,1,B3,"['采 心', '釆 心']",上下结构,上大下小,悉,2351.0,xī,"{'pinyin': 'xī', 'explanations': [{'content': '(会意。从心,从采。采（biàn）,辨别。心中加以辨别,很详细。本义:详尽) 同本义。', 'detail': [{'text': '悉,详尽也。', 'book': '《说文》'}, {'text': '悉,尽也。', 'book': '《尔雅》'}, {'text': '占不悉。', 'book': '《史记·平准书》。索隐:“尽也。”'}, {'text': '时上所问禽兽簿甚悉。', 'book': '《汉书·张释之传》'}, {'text': '至孅至悉。', 'book': '汉·贾谊《论积贮疏》'}, {'text': '词不悉心。', 'book': '唐·李朝威《柳毅传》'}], 'words': [{'word': '纤悉', 'text': '详细;详尽'}, {'word': '详悉', 'text': '详细而全面'}, {'word': '悉数', 'text': '一一列举。'}]}, {'content': '详尽地叙述。', 'detail': [{'text': '书不能悉意。', 'book': '汉·司马迁《报任安书》'}]}, {'content': '详尽的知道,了解。', 'detail': [{'text': '文亦宜然,随时变改,难可详悉。', 'book': '南朝梁·萧统《文选》序'}, {'text': '亟相亮其悉朕意。', 'book': '《三国志·诸葛亮传》'}], 'words': [{'word': '欣悉', 'text': '高兴地详尽了解'}, {'word': '洞悉', 'text': '很清楚地知道'}, {'word': '熟悉', 'text': '知道得很清楚'}, {'word': '来函敬悉;探悉;惊悉;详悉', 'text': '详细知道。'}]}, {'content': '尽其所有。', 'detail': [{'text': '以公之与民已悉矣。', 'book': '《谷梁传·宣公十五年》。注:“谓尽其力也。”'}, {'text': '悉浮以沿江。', 'book': '宋·司马光《资治通鉴》'}], 'words': [{'word': '悉锐', 'text': '尽其全部精锐'}, {'word': '悉甲', 'text': '尽其甲兵'}, {'word': '悉索', 'text': '尽其所有;搜括。'}]}]}",[上下],采心,[上下]采心,星空采辽阔无垠，大地心宽广无际
频,13,pín,页,2,H0,['步 页'],左右结构,左右结构,频,2892.0,pín,"{'pinyin': 'pín', 'explanations': [{'content': '(会意。从步,从页。页(xié):人头。《说文》认为步是“涉”的省略。人将要渡河,见水深,皱眉而止。本义:皱眉)。'}, {'content': '同本义。', 'detail': [{'text': '已频顣曰。', 'book': '《孟子》'}], 'words': [{'word': '频蹙', 'text': '皱眉蹙额,忧愁不乐的样子。'}]}, {'content': '接近;临近。', 'detail': [{'text': '百姓流亡,频于涂炭。', 'book': '晋·潘岳文'}]}, {'content': '重复,连续。', 'detail': [{'text': '频,连也。', 'book': '《字汇》'}, {'text': '频年服役。', 'book': '《后汉书·杨终传》'}], 'words': [{'word': '频日', 'text': '连续多日'}, {'word': '频世', 'text': '连续两代'}, {'word': '频岁', 'text': '连年。'}]}, {'content': '危急;紧急。', 'detail': [{'text': '于科有哀,国步斯频。', 'book': '《诗·大雅·桑柔》'}]}, {'content': '假借为“滨”。水边。'}, {'content': '屡次;频繁。', 'detail': [{'text': '是时,地数震裂,众灾频降。', 'book': '《后汉书·李云传》'}, {'text': '近于京师,频得足下所为文,读之甚善。', 'book': '欧阳修《与石推官第一书》'}], 'words': [{'word': '频荐齿颊', 'text': '总挂在嘴边'}, {'word': '频送', 'text': '接连传送。'}]}, {'content': '姓。'}]}",[左右],步页,[左右]步页,左面步，右面页
喧,12,xuān,口,2,H2,['口 宣'],左右结构,左窄右宽,喧,2646.0,xuān,"{'pinyin': 'xuān', 'explanations': [{'content': '(形声。从口,宣声。“宣”有“宣扬”义,也有表义作用。本义:声音大而嘈杂)。'}, {'content': '同本义。', 'detail': [{'text': '喧,大语也。', 'book': '《玉篇》'}, {'text': '结庐在人境,而无车马喧。', 'book': '陶潜《饮酒》'}, {'text': '上林催猎响,河桥争渡喧。', 'book': '北周·庚信《同州还》'}, {'text': '夜风一何喧,大舶双橹。', 'book': '宋·王安石《金山寺》'}, {'text': '蛙蛤徒自喧,蛟龙卧如蛰。', 'book': '陆游《喜雨》'}], 'words': [{'word': '喧议', 'text': '喧闹议论'}, {'word': '喧埃', 'text': '尘世的喧嚷'}, {'word': '喧吓', 'text': '喧哗恐吓'}, {'word': '喧卑', 'text': '喧闹低下'}, {'word': '喧哄', 'text': '喧闹。'}]}, {'content': '显赫。', 'detail': [{'text': '赫兮喧兮者,威仪也。', 'book': '《礼记》'}]}]}",[左右],口宣,[左右]口宣,左部口，右部宣
待,9,dài,彳,1,H2,['彳 寺'],左右结构,左窄右宽,待,1580.0,dài,"{'pinyin': 'dài', 'explanations': [{'content': '(形声。从彳(chì),寺声。本义:等待,等候)。'}, {'content': '同本义。', 'detail': [{'text': '待,逗也。', 'book': '《广雅》'}, {'text': '有待而行也。', 'book': '《易·归妹》'}, {'text': '窃待于下风。', 'book': '《庄子·渔父》'}, {'text': '多行不义,必自毙,子姑待之。', 'book': '《左传·隐公元年》'}, {'text': '吾入关,秋毫不敢有所近,籍吏民,封府库,而待将军。', 'book': '《史记·项羽本纪》'}, {'text': '与其坐而待之,孰若起而拯之。', 'book': '清·徐珂《清稗类钞·战事类》'}, {'text': '待君久不至,已去。', 'book': '《世说新语·方正》'}], 'words': [{'word': '待年', 'text': '等待长大。指女子待嫁'}, {'word': '待贤', 'text': '等候贤人'}, {'word': '待诏', 'text': '等待任职的诏令'}, {'word': '待时', 'text': '等待时机。'}]}, {'content': '以某种态度或行为加之于人或事物,对待。', 'detail': [{'text': '此贤君子也,君厚待之。', 'book': '《韩非子·喻老》'}, {'text': '古之君子,其责己也重以周,其待人也轻以约。', 'book': '韩愈《原毁》'}, {'text': '士别三日,即更刮目相待。', 'book': '《资治通鉴·汉纪》'}, {'text': '荣贼并非推心待慰帅者。', 'book': '清·梁启超《谭嗣同传》'}], 'words': [{'word': '宽待', 'text': '宽大对待'}, {'word': '待见', 'text': '原谅'}, {'word': '待贤', 'text': '礼遇贤者。'}]}, {'content': '招待。', 'detail': [{'text': '相公前厅待客。', 'book': '元·关汉卿《谢天香》'}], 'words': [{'word': ' 待东', 'text': '以主人身分招待'}, {'word': '待用', 'text': '接待而拔用'}, {'word': '待慢', 'text': '招待不周;冷淡。'}]}, {'content': '需要。', 'detail': [{'text': '不待告。', 'book': '《史记·天官书》。注:“须也。”'}], 'words': [{'word': ' 自不待言;待教', 'text': '需要教育。'}]}, {'content': '将，要（古典戏曲小说和现代某些方言的用法）。', 'detail': [{'text': '[金老]便待出门,店小二拦住道:“金公,那里去?”', 'book': '《水浒传》'}], 'words': [{'word': ' 待说不说;待好', 'text': '即将'}, {'word': '待善', 'text': '就要;将要。'}]}, {'content': '防备。', 'detail': [{'text': '今城郭不完,兵甲不备,不可以待不虞。', 'book': '《韩非子·外储说左上》'}]}, {'content': '依靠。', 'detail': [{'text': '主待农战而尊。', 'book': '《商君书·农战》'}]}, {'content': '容,让。', 'detail': [{'text': '两位头领到大寨食息,待贫道自去赶他。', 'book': '《水浒传》'}, {'text': '这也是个彩头,待我见去。', 'book': '《灰阑记》'}]}, {'content': '要是,如果。', 'detail': [{'text': '倘或留住在家中,倒惹得孩儿们不学好了;待不收他,又撇不过柳大郎面皮。', 'book': '《水浒传》'}]}]}",[左右],彳寺,[左右]彳寺,左边彳，右边寺
斜,11,xié,斗,1,H0,['余 斗'],左右结构,左右结构,斜,2347.0,xié,"{'pinyin': 'xié', 'explanations': [{'content': '(形声。从斗,余声。本义:用斗倒出)。'}, {'content': '舀出。', 'detail': [{'text': '斜,抒也。', 'book': '《说文》'}], 'words': [{'word': '斜酒', 'text': '舀酒。'}]}, {'content': '侧着移动,向偏离正中或正前方的方向移动。', 'detail': [{'text': '门子才斜签着坐下。', 'book': '《葫芦僧判断葫芦案》'}, {'text': '飞腾暮景斜。', 'book': '《杜位宅守岁》'}], 'words': [{'word': '斜签', 'text': '侧着身子'}, {'word': '斜躺', 'text': '斜着下垂。'}]}, {'content': '不正,歪斜。', 'detail': [{'text': '明月斜挂。', 'book': '清·薛福成《观巴黎油画记》'}, {'text': '斜风细雨。', 'book': '唐·张志和《渔歌子》'}, {'text': '青山郭外斜。', 'book': '唐·孟浩然《过故人庄》'}, {'text': '烟斜雾横。', 'book': '唐·杜牧《阿房宫赋》'}], 'words': [{'word': '斜月三星', 'text': '心字的隐喻'}, {'word': '斜射路', 'text': '抄近路在田中踩踏出来的斜道'}, {'word': '斜柯', 'text': '倾侧;敲侧'}, {'word': '斜刺', 'text': '斜刺里'}, {'word': '斜径', 'text': '歪斜的小路。'}]}, {'content': '不专诚。', 'detail': [{'text': '又想:“师父万一心斜,走到西方,亦无用处。”', 'book': '《西游记》'}], 'same': '邪'}, {'content': '巷。', 'detail': [{'text': '长安有狭斜,狭斜不容车。', 'book': '古乐府《长安有狭斜行》'}]}]}",[左右],余斗,[左右]余斗,左面余，右面斗
级,6,jí,纟,0,H2,"['丝 及', '纟 及']",左右结构,左窄右宽,级,594.0,jí,"{'pinyin': 'jí', 'explanations': [{'content': '(形声。从糸(mì),表示与线丝有关,及声。本义:丝的次第)。'}, {'content': '同本义。', 'detail': [{'text': '级,丝次弟也。', 'book': '《说文》。段玉裁注:“本谓丝之次弟,故其字从系。引申为凡次弟之称。”'}]}, {'content': '引申为等级,特指官阶爵位的品级。', 'detail': [{'text': '级,等也。', 'book': '《广雅》'}, {'text': '拾级聚足。', 'book': '《礼记·曲礼》。注:“等也。”'}, {'text': '级,阶次也。', 'book': '《声类》'}, {'text': '以别贵贱等级之度。', 'book': '《礼记·月令》'}, {'text': '百姓内粟千石,拜爵一级。', 'book': '《史记·秦始皇本纪》'}], 'words': [{'word': '超级', 'text': '超过一般等级的'}, {'word': '震级', 'text': '地震等级'}, {'word': '晋级', 'text': '升到较高的等级'}, {'word': '级差', 'text': '等级之间的差距。'}]}, {'content': '石阶。', 'detail': [{'text': '乃领宾者延之而上,分级而立。', 'book': '《吕氏春秋》'}, {'text': '澄源寻视其侧,得级。', 'book': '《徐霞客游记·游黄山记》'}, {'text': '其级七千有余。', 'book': '清·姚鼐《登泰山记》'}], 'words': [{'word': '石级'}]}, {'content': '秦制,战争中斩敌首一,赐爵一级,称为首级。后以“级”为所斩之首的量词。', 'detail': [{'text': '凡斩首七千六百级。', 'book': '《汉书·赵充国传》'}], 'words': [{'word': '斩级万余'}]}]}",[左右],丝及,[左右]丝及,左手的丝温柔细腻，右手的及力量十足
蛾,13,é,虫,1,H2,['虫 我'],左右结构,左窄右宽,蛾,2924.0,é,"{'pinyin': 'é', 'explanations': [{'content': '(形声。从虫,我声。本义:蛾子。昆虫。形似蝴蝶,体躯一般粗大,四翅,静止时平放体侧。多在夜间飞行)。'}, {'content': '同本义。', 'detail': [{'text': '禽兽虫蛾。', 'book': '《列子·黄帝》'}, {'text': '朱蛾其状如蛾。', 'book': '《山海经·海内北经》'}], 'words': [{'word': '蛾罗', 'text': '即蛾子'}, {'word': '蛾蝶', 'text': '指飞蛾'}, {'word': '蛾眉', 'text': '指飞蛾。'}]}, {'content': '蛾眉的简称。', 'detail': [{'text': '扬蛾微眺。', 'book': '魏·曹丕《答繁钦书》'}], 'words': [{'word': '蛾黄', 'text': '淡黄色'}, {'word': '蛾黛', 'text': '女子画眉用的青黑色颜料。'}]}]}",[左右],虫我,[左右]虫我,左手的虫温柔细腻，右手的我力量十足
菩,11,pú,艹,2,B2,"['草 咅', '艸 咅', '艹 咅']",上下结构,上小下大,菩,2210.0,pú,"{'pinyin': 'pú', 'explanations': [{'content': '菩提(音译):意为正觉。指对佛教“真理”的觉悟。', 'detail': [{'text': '菩,梵言菩提,汉言王道。', 'book': '《广韵》'}]}, {'content': '又指觉悟的智慧和觉悟的途径;亦指树名,即菩提树。'}, {'content': '“菩萨”:佛教名词。梵文菩提萨埵(Bodhi-sattva)之省,原为释迦牟尼修行而未成佛时的称号,后泛用为对大乘思想的实行者的称呼;亦指人们崇拜的偶像;或比喻心肠仁慈的人。'}]}",[上下],草咅,[上下]草咅,高处草，低处咅
佛,7,fú,亻,1,H2,"['人 弗', '亻 弗']",左右结构,左窄右宽,佛,789.0,fú,"{'pinyin': 'fú', 'explanations': [{'content': '违背。', 'detail': [{'text': '佛,戾也。或作拂。', 'book': '《集韵》'}], 'same': '拂'}, {'content': '——见“仿佛”(fǎngfú)。'}]}",[左右],人弗,[左右]人弗,左面人，右面弗
堰,12,yàn,土,2,H2,['土 匽'],左右结构,左窄右宽,堰,2512.0,yàn,"{'pinyin': 'yàn', 'explanations': [{'content': '(形声。从土,匽(yàn)声。本义:拦河坝)。'}, {'content': '同本义。', 'detail': [{'text': '东出千金堰。', 'book': '《文选·沈约·三月三日率尔成篇诗》'}, {'text': '堰,潜堰也,潜筑土以壅水也。', 'book': '《广雅》'}, {'text': '长分桥西有千金堰。', 'book': '《洛阳伽蓝记》'}], 'words': [{'word': '都江堰;堰塘', 'text': '筑有堤堰的蓄水池'}, {'word': '堰埭', 'text': '截水的土堰'}, {'word': '堰埭', 'text': '壅水的土坝。'}]}, {'content': '池塘。', 'detail': [{'text': '桌椅板凳在田里堰里飘着。', 'book': '闻一多《荒村》'}], 'words': [{'word': '一口堰;满满的一堰水'}]}, {'content': '堵。', 'detail': [{'text': '堰,壅水也。', 'book': '《说文》'}, {'text': '谁家能堰东流水?', 'book': '唐·卢照邻《行路难》'}]}]}",[左右],土匽,[左右]土匽,左手的土温柔细腻，右手的匽力量十足
捏,10,niē,扌,1,H2,"['手 圼', '扌 圼', '才 圼']",左右结构,左窄右宽,捏,1793.0,niē,"{'pinyin': 'niē', 'explanations': [{'content': '(形声。从手,从土,曰声。本义:用手指将软的东西捻成一定形状)。'}, {'content': '同本义。', 'detail': [{'text': '只见几个婆子手里都捧着一色捏丝戗金五彩大盒子走来。', 'book': '《红楼梦》'}], 'words': [{'word': '捏泥人儿;捏怪', 'text': '塑造怪相'}, {'word': '捏素', 'text': '塑像'}, {'word': '捏塑', 'text': '以泥塑造。'}]}, {'content': '握。', 'detail': [{'text': '俺捏住这玉佩慢慢的行将去。', 'book': '郑德辉《驺梅香》'}], 'words': [{'word': '手内捏一捏,就知分两;手上还捏着那只小篮呢;把钱捏在手里睡觉'}]}, {'content': '假造。', 'detail': [{'text': '王庆听他问的跷蹊,便捏一派假话支吾。', 'book': '《水浒传》'}], 'words': [{'word': '捏奏', 'text': '捏造谎言,上奏朝廷'}, {'word': '捏名', 'text': '假造姓名'}, {'word': '捏事', 'text': '假造事端'}, {'word': '捏陷', 'text': '捏造假证陷害'}, {'word': '捏故', 'text': '捏造事端'}, {'word': '捏构', 'text': '虚构,编造'}, {'word': '捏报', 'text': '谎报'}, {'word': '捏诬', 'text': '说谎诬陷。'}]}]}",[左右],手圼,[左右]手圼,左侧手，右侧圼
音,9,yīn,音,0,B0,"['立 日', '立 曰']",上下结构,上下结构,音,1632.0,yīn,"{'pinyin': 'yīn', 'explanations': [{'content': '(指事。从言含一。甲骨文“言、音”互用,金文、小篆在“言中加一横,表示所发之音。本义:声音)。'}, {'content': '同本义。', 'detail': [{'text': '音,声也。生于心,有节于外。谓之音。', 'book': '《说文》'}, {'text': '八音。一说笙、祝、鼓、箫、琴、埙、钟、磬也。', 'book': '《白虎通·礼乐》'}, {'text': '凡音之起,由人心生也。声成文,谓之音。', 'book': '《礼记·乐记》'}, {'text': '夫音,乐之舆也。', 'book': '《左传·昭公二十一年》'}, {'text': '鸡狗之音相闻。', 'book': '《庄子》'}, {'text': '北音清越。', 'book': '宋·苏轼《石钟山记》'}, {'text': '鸟兽音迹。', 'book': '清·姚鼐《登泰山记》'}], 'words': [{'word': '音颡', 'text': '喉咙'}, {'word': '音强', 'text': '指声音的强弱。也叫响度或音势。音的强弱,因发音体振动时之振幅大小而异,振幅大者则音强,振幅小者则音弱'}, {'word': '音制', 'text': '音调高下疾徐的节奏'}, {'word': '音频', 'text': '人类耳朵能产生反应的声音频率范围。'}]}, {'content': '音乐。', 'detail': [{'text': '莫不中音。', 'book': '《庄子·养生主》'}, {'text': '赵王好音。', 'book': '《史记·廉颇蔺相如列传》'}], 'words': [{'word': '音律;音调'}]}, {'content': '字的音读。', 'detail': [{'text': '乡音无改。', 'book': '唐·贺知章《回乡偶书》'}, {'text': '盖音谬也。', 'book': '宋·王安石《游褒禅山记》'}], 'words': [{'word': '音韵', 'text': '指“汉”字字音中的声、韵、调。'}]}]}",[上下],立日,[上下]立日,星空立辽阔无垠，大地日宽广无际
颗,14,kē,页,1,H0,['果 页'],左右结构,左右结构,颗,3100.0,kē,"{'pinyin': 'kē', 'explanations': [{'content': '(形声。从页(xié),果声。从“页”,表示与头有关。(kě) 本义:小头) 引申指颗粒状物。', 'detail': [{'text': '颗,小头也。', 'book': '《说文》'}, {'text': '翠叶轻拢豆颗匀。', 'book': '元好问《未开海棠》'}], 'words': [{'word': '颗盐', 'text': '俗称“粒盐”。一种粗盐'}, {'word': '颗子', 'text': '方言。指小米。'}]}, {'content': '多用于圆形或粒状物。', 'detail': [{'text': '北土通呼物一凷改为一颗。', 'book': '《颜氏家训》。按,如米粒珠子皆是。'}], 'words': [{'word': '三颗黄豆;两颗绿豆'}]}]}",[左右],果页,[左右]果页,左肩果担当重任，右肩页守护安宁
蕴,15,yùn,艹,2,B2,"['草 缊', '艸 缊', '艹 缊']",上下结构,上小下大,蕴,3212.0,yùn,"{'pinyin': 'yùn', 'explanations': [{'content': '(形声。从艸,蕴(yùn) 声。本义:积聚,蓄藏)。'}, {'content': '同本义。', 'detail': [{'text': '蘊,积也。', 'book': '《说文》'}]}, {'content': '字亦作“蕴”。', 'detail': [{'text': '蘊,聚也。', 'book': '《广雅》'}, {'text': '芟夷蘊崇之。', 'book': '《左传·隐公六年》'}, {'text': '蓄而弗治将蘊。', 'book': '《左传·昭公二十五年》'}, {'text': '而以是相蕴。', 'book': '《庄子·齐物论》'}, {'text': '我心蕴结兮。', 'book': '《诗·桧风·素冠》'}, {'text': '蕴利生孽,姑使无蕴乎。', 'book': '《左传·昭公十年》'}], 'words': [{'word': '蕴积', 'text': '蕴藏;积聚'}, {'word': '蕴哲', 'text': '蓄藏智慧'}, {'word': '蕴艺', 'text': '藏蓄的才华。'}]}, {'content': '包藏;包含。', 'detail': [{'text': '万物尽然,而以是相蕴。', 'book': '《庄子》'}]}, {'content': '乱麻。', 'detail': [{'text': '[里媪] 即束蕴请火去妇之家,曰:“吾犬争肉相杀,请火治之。”', 'book': '《韩诗外传》'}]}, {'content': '佛教语意为荫覆 。也译作“阴”,如佛经以色、受、想、行、藏为五阴,也作五蕴。'}]}",[上下],草缊,[上下]草缊,树冠草枝繁叶茂，根系缊深埋大地
