字符,笔画数,拼音,偏旁部首,频率,结构代码,拆字,结构方式,间架比例,char,index,pinyin,pronunciation_details,结构谜底,拆字谜底,谜底,字谜
祠,9,cí,礻,2,H2,"['示 司', '礻 司']",左右结构,左窄右宽,祠,1713.0,cí,"{'pinyin': 'cí', 'explanations': [{'content': '(形声。从示,司声。本义:春祭)。'}, {'content': '同本义。', 'detail': [{'text': '春祭曰祠,品物少,多文辞也。', 'book': '《说文》'}, {'text': '仲春之月祠不用牺牲,用圭璧及皮币。', 'book': '《礼记·月令》'}]}, {'content': '供奉鬼神、祖先或先贤的庙堂。', 'detail': [{'text': '祠,神祠也。', 'book': '《汉书·陈胜传》注'}, {'text': '又间令吴广之次所旁丛祠中。', 'book': '《史记·陈涉世家》'}], 'words': [{'word': '宗祠', 'text': '祠堂'}, {'word': '祠灶', 'text': '宗祠;祠堂'}, {'word': '祠馆', 'text': '犹祠堂。'}]}, {'content': '引申为祭祀。', 'detail': [{'text': '此秦王之所以庙祠而求也。', 'book': '《韩非子·十过》'}], 'words': [{'word': '祠求', 'text': '祭神祈求'}, {'word': '祠事', 'text': '祭礼,祭祀之事'}, {'word': '祠官', 'text': '掌管祭祀之官。'}]}]}",[左右],示司,[左右]示司,门的左扇，示装饰之美；门的右扇，司简约之雅
哼,10,hēng,口,2,H2,['口 享'],左右结构,左窄右宽,哼,1913.0,hēng,"{'pinyin': 'hēng', 'explanations': [{'content': '(形声。从口,亨声。本义:痛苦作声)。'}, {'content': '同本义。訇的俗字。', 'detail': [{'text': '且睡在床上推病,口里哼哼囋囋的不绝。', 'book': '《西游记》'}], 'words': [{'word': '哼贲', 'text': '呻吟。通“唧”'}, {'word': '哼儿哈儿', 'text': '呵斥的声音'}, {'word': '哼哼囋囋', 'text': '痛苦时的呻吟声'}, {'word': '哼哼唧唧', 'text': '象声词。形容病痛的呻吟声'}, {'word': '痛得直哼'}]}]}",[左右],口享,[左右]口享,弓的左侧，口待发之势；弓的右侧，享射出之力
窒,11,zhì,穴,2,B2,['穴 至'],上下结构,上小下大,窒,2456.0,zhì,"{'pinyin': 'zhì', 'explanations': [{'content': '(形声。从穴,至声。洞穴狭小阻塞,故从穴。本义:阻塞,不通)。'}, {'content': '同本义。', 'detail': [{'text': '窒,塞也。', 'book': '《说文》'}, {'text': '有孚窒。', 'book': '《易·讼》。虞注:“塞止也。”'}, {'text': '精不流则气郁,郁处头则为肿为风…处鼻则为鼽为窒。', 'book': '《吕氏春秋·尽数》。注:“不通也。”'}, {'text': '穹窒熏鼠。', 'book': '《诗·豳风·七月》'}], 'words': [{'word': '窒塞;窒阂', 'text': '闭塞,阻隔。'}]}, {'content': '抑止住使不发泄。', 'detail': [{'text': '损,君子以惩忿窒欲。', 'book': '《易·损》'}], 'words': [{'word': '窒抑', 'text': '阻遏;抑制'}, {'word': '窒欲', 'text': '抑制欲望'}, {'word': '窒滞', 'text': '阻碍'}, {'word': '窒沮', 'text': '阻滞'}, {'word': '窒郁', 'text': '抑郁;沉闷'}, {'word': '窒士', 'text': '不得志的文人。'}]}, {'content': '障碍物。', 'detail': [{'text': '有窒皆通。', 'book': '《丞相答刺罕赠谥制》'}], 'words': [{'word': '窒烦', 'text': '排除烦乱的心情。'}]}]}",[上下],穴至,[上下]穴至,画中穴盛开云端，画中至默落画底
拇,8,mǔ,扌,2,H2,"['手 母', '扌 母', '才 母']",左右结构,左窄右宽,拇,994.0,mǔ,"{'pinyin': 'mǔ', 'explanations': [{'content': '(形声。从手,母声。本义:手大指) 同本义。', 'detail': [{'text': '拇,拇指也。', 'book': '《说文》。按,中指为将指,大指为拇指,手足大指皆曰拇。'}, {'text': '至于手拇毛脉。', 'book': '《国语·楚语》。注:“大指也。”'}], 'words': [{'word': '拇印', 'text': '以手的拇指代印'}, {'word': '拇阵', 'text': '拇战。猜拳。'}]}]}",[左右],手母,[左右]手母,门的左扇，手装饰之美；门的右扇，母简约之雅
姆,8,mǔ,女,2,H2,['女 母'],左右结构,左窄右宽,姆,1330.0,mǔ,"{'pinyin': 'mǔ', 'explanations': [{'content': '(形声。从女,母声。本义:中国古代教育未出嫁女子的妇人)。'}, {'content': '同本义。', 'detail': [{'text': '娒,女师也。', 'book': '《说文》'}, {'text': '姆纚笄宵衣在其右。', 'book': '《仪礼·士昏礼》。注:“姆,妇人年五十,无子,出而不复嫁,能以妇道教人者,若今时乳母。”'}, {'text': '姆教婉娩听从。', 'book': '《礼记·内则》'}], 'words': [{'word': '保姆', 'text': '保母。受雇为人看孩子或干家务的妇女'}, {'word': '姆母', 'text': '古时为人教育女子的妇人'}, {'word': '姆师', 'text': '古时以妇道教育女子的女师'}, {'word': '姆训', 'text': '女师的训诫'}, {'word': '姆教', 'text': '女师传授妇道于女子。'}]}, {'content': '乳母。', 'detail': [{'text': '姆抱幼子立侧。', 'book': '韩愈《殿中少监马君墓志》'}]}]}",[左右],女母,[左右]女母,左岸女繁华，右岸母静谧
憔,15,qiáo,忄,2,H2,"['心 焦', '忄 焦']",左右结构,左窄右宽,憔,3301.0,qiáo,"{'pinyin': 'qiáo', 'explanations': [{'content': '(会意。从心,焦声。本义:憔悴,瘦弱萎靡的样子。也泛指折磨困苦) 同本义。', 'detail': [{'text': '顦,面焦枯小也。从面焦,焦亦声。', 'book': '《说文》'}, {'text': '而日以憔悴。', 'book': '《国语·吴语》'}, {'text': '身憔悴而考且。', 'book': '《楚辞·离世》'}, {'text': '顦妍太息。', 'book': '《汉书·外戚传》'}], 'words': [{'word': '憔瘁', 'text': '黄瘦,瘦损。'}]}]}",[左右],心焦,[左右]心焦,弓的左侧，心待发之势；弓的右侧，焦射出之力
叛,9,pàn,又,1,H0,['半 反'],左右结构,左右结构,叛,1644.0,pàn,"{'pinyin': 'pàn', 'explanations': [{'content': '(形声。从反,半声。本义:背叛) 同本义。', 'detail': [{'text': '叛,乱也。', 'book': '《广雅》'}, {'text': '信中涂而叛之。', 'book': '《楚辞·逢纷》'}, {'text': '叛者,反背之辞也。', 'book': '《左传释例》'}, {'text': '侯不朝,兹谓叛。', 'book': '《汉书·五行志》'}, {'text': '叛者五人。', 'book': '《公羊传·定公八年》'}, {'text': '天下皆叛之。', 'book': '《史记·项羽本纪》'}], 'words': [{'word': '众叛亲离;反叛', 'text': '叛变'}, {'word': '叛道', 'text': '背叛正道'}, {'word': '叛败', 'text': '谋叛而败亡'}, {'word': '叛镇', 'text': '背叛朝廷的藩镇'}, {'word': '叛附', 'text': '叛变后另有依附'}, {'word': '叛服', 'text': '叛变或顺服'}, {'word': '叛降', 'text': '叛变投敌。'}]}, {'content': '零乱的。', 'detail': [{'text': '约则义孤,博则辞叛。', 'book': '《文心雕龙》'}]}]}",[左右],半反,[左右]半反,左侧执半，右侧持反
份,6,fèn,亻,1,H2,"['人 分', '亻 分']",左右结构,左窄右宽,份,471.0,fèn,"{'pinyin': 'fèn', 'explanations': [{'content': '(形声。从人,分声。同“彬”。①(bīn)本义:文质兼备的样子 ②量词。用于计数或搭配成组的东西)。'}]}",[左右],人分,[左右]人分,左岸人繁华，右岸分静谧
阿,7,ē,阝,1,H2,"['阜 可', '阝 可']",左右结构,左窄右宽,阿,913.0,ē,"{'pinyin': 'ē', 'explanations': [{'content': '(形声。从阜,可声。本义:大的山陵,大的土山)。'}, {'content': '同本义。', 'detail': [{'text': '阿,大陵也。一曰曲阜也。', 'book': '《说文》'}, {'text': '我陵我阿。', 'book': '《诗·大雅·皇矣》'}, {'text': '有卷者阿。', 'book': '《诗·大雅·卷阿》'}, {'text': '在彼中阿。', 'book': '《诗·小雅·菁菁者莪》'}], 'words': [{'word': '阿丘', 'text': '一边偏高的土丘。'}]}, {'content': '泛指山。', 'detail': [{'text': '流自眺夫衡阿兮。', 'book': '张衡《思玄赋》。注:“山下也。”'}], 'words': [{'word': '阿阜', 'text': '山峰,峰峦'}, {'word': '崇阿', 'text': '高大的山。'}]}, {'content': '山坡。'}, {'content': '细缯,古代一种轻细的丝织品。', 'detail': [{'text': '衣阿锡,曳齐纨。', 'book': '《淮南子·修务》'}, {'text': '被阿锡,揄纻缟。', 'book': '《史记·司马相如传》'}, {'text': '曳阿锡。', 'book': '《汉书·礼乐志》。注:“细缯也。”'}], 'words': [{'word': '阿锡', 'text': '细的丝布。阿指细缯,锡是细布。'}]}, {'content': '曲隅,角落。', 'detail': [{'text': '四阿重屋。', 'book': '《周礼·考工记》'}, {'text': '若有人兮山之阿。', 'book': '《楚辞·山鬼》。注:“曲隅也。”'}, {'text': '周阿而生', 'book': '班固《西都赋》。注:“庭之曲也。”'}, {'text': '汾之阿。', 'book': '《汉书·礼乐志》。注:“水之曲隅。”'}]}, {'content': '水边。', 'detail': [{'text': '丙午,天子饮于河水之阿。', 'book': '《穆天子传》'}]}, {'content': '曲从;迎合。', 'detail': [{'text': '弗谏而阿之。', 'book': '《国语·周语》。注:“随也。”'}, {'text': '阿郑君之心。', 'book': '《吕氏春秋·长见》'}, {'text': '行叩诚而不阿兮。', 'book': '《楚辞·逢纷》。注:“曲也。”'}, {'text': '是察阿党。', 'book': '《礼记·月令》。注:“谓治狱吏以私恩,曲桡为也。”'}], 'words': [{'word': '阿奉', 'text': '阿谀奉承'}, {'word': '阿世', 'text': '迎合世俗'}, {'word': '阿邑', 'text': '迎合奉承的样子'}, {'word': '阿意', 'text': '曲意附和他人的心意。'}]}]}",[左右],阜可,[左右]阜可,左阜右可，互为表里
垛,9,duǒ,土,2,H2,['土 朵'],左右结构,左窄右宽,垛,1388.0,duǒ,"{'pinyin': 'duǒ', 'explanations': [{'content': '垛子;墙两侧或上头伸出的部分。', 'detail': [{'text': '垜,堂塾也。从土,朶声。门堂之塾有左右。左右各有南向北向两塾,今俗谓门两边伸出小墙曰垛头。', 'book': '《说文》'}], 'words': [{'word': '垛口;垛迭', 'text': '建筑物突出的部分,指门两旁伸出的墙'}, {'word': '垛楼', 'text': '军官住的高楼。'}]}, {'content': '设置箭靶的小土墙。', 'detail': [{'text': '罗灰修药灶,筑垛阅弓垜。', 'book': '唐·元稹《江边四十韵》'}], 'words': [{'word': '箭垛'}]}]}",[左右],土朵,[左右]土朵,左边是土，右边是朵
舰,10,jiàn,舟,1,H2,['舟 见'],左右结构,左窄右宽,舰,1978.0,jiàn,"{'pinyin': 'jiàn', 'explanations': [{'content': '(形声。从舟,监声。本义:大型的战船)。'}, {'content': '同本义。', 'detail': [{'text': '舰,版屋舟。', 'book': '《玉篇》'}, {'text': '舰,御敌船'}, {'text': '舳舻千里,前驱不过百舰。', 'book': '《文选·陆机·辨亡论下》'}, {'text': '方连船舰。', 'book': '《资治通鉴》'}, {'text': '十舰最著前。'}, {'text': '北舰十余里。', 'book': '宋·文天祥《 后序》'}], 'words': [{'word': '巡洋舰;驱逐舰;航空母舰;舰户', 'text': '船舰的门户。'}]}]}",[左右],舟见,[左右]舟见,左岸舟繁华，右岸见静谧
孙,6,sūn,子,1,H0,['子 小'],左右结构,左右结构,孙,570.0,sūn,"{'pinyin': 'sūn', 'explanations': [{'content': '(会意。从子,从系,续也。金文,象用绳索捆绑小孩子,意为少年俘虏。本义:儿子的儿子)。'}, {'content': '同本义。', 'detail': [{'text': '孫,子之子曰孙。', 'book': '《说文》'}, {'text': '孙谓祖后者。', 'book': '《礼记·杂记》注'}, {'text': '子子孙孙引无极也。', 'book': '《尔雅》'}, {'text': '遂率子孙荷担者三夫。', 'book': '《列子·汤问》'}, {'text': '有孙母未出,出入无完裙。', 'book': '唐·杜甫《石壕吏》'}], 'words': [{'word': '祖孙;重孙', 'text': '孙子的儿子'}, {'word': '孙少爷', 'text': '旧时尊称别人的孙子'}, {'word': '孙囡', 'text': '方言。孙女儿'}, {'word': '孙儿;孙孙', 'text': '孙儿,多用于爱称'}, {'word': '孙妇', 'text': '孙媳妇'}, {'word': '孙曾', 'text': '孙子和曾孙。'}]}, {'content': '跟孙子同辈的同性或异性亲属。', 'detail': [{'text': '况且这通身的气派,竟不像老祖宗的外孙女儿,竟是个嫡亲的孙女。', 'book': '《红楼梦》'}], 'words': [{'word': '外孙,侄孙;孙婿', 'text': '儿子的女婿。'}]}, {'content': '泛指后代子孙。', 'detail': [{'text': '子孙视之不甚惜,举以予人,如弃草芥。', 'book': '宋·苏洵《六国论》'}], 'words': [{'word': '孙息', 'text': '子孙'}, {'word': '孙子', 'text': '子孙后代'}, {'word': '孙男弟女', 'text': '泛指晚辈。'}]}, {'content': '脉络的细小分支。', 'detail': [{'text': '顾闻孙络谿谷。', 'book': '《素问·气穴论》。注:“小络也。”'}, {'text': '经脉为里,支而横者为络,络之别者为孙。', 'book': '《灵枢经》'}]}, {'content': '再生或孳生的植物。', 'detail': [{'text': '孙竹之管。', 'book': '《周礼·大司乐》。注:“孙枝根之未生者。”'}], 'words': [{'word': '孙竹', 'text': '竹根末端生出的新枝'}, {'word': '孙枝', 'text': '树木旁枝所生的新枝。'}]}, {'content': '姓。'}]}",[左右],子小,[左右]子小,左部分子，右部分小
夯,5,hāng,大,2,B0,['大 力'],上下结构,上下结构,夯,219.0,hāng,"{'pinyin': 'hāng', 'explanations': [{'content': '用力扛东西。', 'detail': [{'text': '夯,大用力以肩举物。', 'book': '《字汇》'}, {'text': '自家闺阁中物,不肯放下,反累及他人担夯,无乃大劳乎!', 'book': '明·净善集《禅林宝训》'}]}, {'content': '充胀,胀满。', 'detail': [{'text': '有口难言,气夯破胸脯。', 'book': '元·王实甫《西厢记》'}]}]}",[上下],大力,[上下]大力,诗的大首句辉映；诗的力尾韵沉淀
